order_ref,order_date,customer_email,product_sku,product_name,product_category,quantity,unit_price,total_amount,payment_method,region
ORD-000017,2025-09-13,customer76@yahoo.co.ke,SKU-HOME-003,Bed Sheets Set,Home & Kitchen,4,3642.85,14571.4,mpesa,Thika
ORD-000018,2025-10-22,customer164@yahoo.co.ke,SKU-ELEC-002,Laptop Ultra,Electronics,5,130236.16,651180.8,card,Bungoma
ORD-000019,2025-09-20,customer188@kenya.co.ke,SKU-CLOTH-001,Cotton T-Shirt,Clothing,5,1936.31,9681.55,card,Bungoma
ORD-000020,2025-10-04,customer164@yahoo.co.ke,SKU-BOOK-003,Design Patterns,Books,3,2540.31,7620.93,mpesa,Busia
ORD-000021,2025-08-06,customer149@yahoo.co.ke,SKU-CLOTH-005,Baseball Cap,Clothing,3,845.79,2537.37,paystack,Thika
ORD-000022,2025-09-11,customer125@yahoo.co.ke,SKU-ELEC-003,Wireless Headphones,Electronics,3,8954.18,26862.54,paystack,Nakuru
ORD-000023,2025-09-05,customer18@kenya.co.ke,SKU-HOME-003,Bed Sheets Set,Home & Kitchen,2,3544.21,7088.42,mpesa,Mombasa
ORD-000024,2025-08-06,customer67@kenya.co.ke,SKU-BOOK-003,Design Patterns,Books,1,2264.74,2264.74,card,Nairobi
ORD-000025,2025-10-09,customer142@yahoo.co.ke,SKU-ELEC-003,Wireless Headphones,Electronics,1,8803.77,8803.77,mpesa,Nyeri
ORD-000026,2025-09-01,customer125@yahoo.co.ke,SKU-ELEC-004,Smart Watch,Electronics,3,20032.64,60097.92,mpesa,Kisumu
ORD-000027,2025-10-08,customer92@outlook.com,SKU-CLOTH-003,Running Shoes,Clothing,1,6486.66,6486.66,mpesa,Thika
ORD-000028,2025-11-04,customer33@outlook.com,SKU-HOME-002,Blender Pro,Home & Kitchen,4,8754.98,35019.92,paystack,Nakuru
ORD-000029,2025-08-23,customer181@gmail.com,SKU-CLOTH-003,Running Shoes,Clothing,5,5646.16,28230.8,mpesa,Thika
ORD-000030,2025-08-31,customer3@outlook.com,SKU-HOME-001,Coffee Maker,Home & Kitchen,4,6542.78,26171.12,mpesa,Mombasa
ORD-000031,2025-10-27,customer54@kenya.co.ke,SKU-HOME-004,Kitchen Knife Set,Home & Kitchen,3,5438.64,16315.92,mpesa,Nairobi
ORD-000032,2025-08-07,customer26@yahoo.co.ke,SKU-HOME-005,Air Purifier,Home & Kitchen,3,15304.41,45913.23,mpesa,Mombasa
ORD-000033,2025-10-01,customer44@outlook.com,SKU-HOME-004,Kitchen Knife Set,Home & Kitchen,4,5416.72,21666.88,mpesa,Nairobi
ORD-000034,2025-10-19,customer30@yahoo.com,SKU-ELEC-004,Smart Watch,Electronics,5,20145.61,100728.05,mpesa,Kakamega
ORD-000035,2025-10-05,customer114@outlook.com,SKU-CLOTH-003,Running Shoes,Clothing,1,6307.91,6307.91,mpesa,Busia
ORD-000036,2025-09-26,customer91@yahoo.com,SKU-CLOTH-003,Running Shoes,Clothing,3,6193.24,18579.72,mpesa,Bungoma
ORD-000037,2025-09-25,customer136@outlook.com,SKU-ELEC-004,Smart Watch,Electronics,5,19620.65,98103.25,mpesa,Thika
ORD-000038,2025-08-10,customer88@outlook.com,SKU-HOME-005,Air Purifier,Home & Kitchen,5,15370.1,76850.5,mpesa,Bungoma
ORD-000039,2025-09-03,customer34@outlook.com,SKU-HOME-003,Bed Sheets Set,Home & Kitchen,1,3269.41,3269.41,bank_transfer,Nairobi
ORD-000040,2025-09-18,customer44@outlook.com,SKU-ELEC-002,Laptop Ultra,Electronics,4,129826.97,519307.88,mpesa,Mombasa
ORD-000041,2025-08-11,customer68@yahoo.com,SKU-HOME-002,Blender Pro,Home & Kitchen,2,9160.35,18320.7,mpesa,Kisumu
ORD-000042,2025-09-07,customer79@outlook.com,SKU-HOME-001,Coffee Maker,Home & Kitchen,4,6575.5,26302.0,card,Eldoret
ORD-000043,2025-10-17,customer97@yahoo.com,SKU-BOOK-003,Design Patterns,Books,5,2543.48,12717.4,mpesa,Kakamega
ORD-000044,2025-09-20,customer82@gmail.com,SKU-BOOK-001,Programming Guide,Books,4,2397.06,9588.24,other,Eldoret
ORD-000045,2025-09-15,customer107@outlook.com,SKU-HOME-004,Kitchen Knife Set,Home & Kitchen,3,4931.05,14793.15,other,Bungoma
ORD-000046,2025-09-21,customer50@kenya.co.ke,SKU-CLOTH-005,Baseball Cap,Clothing,2,1254.82,2509.64,mpesa,Malindi
ORD-000047,2025-09-27,customer59@outlook.com,SKU-CLOTH-001,Cotton T-Shirt,Clothing,3,1594.48,4783.44,mpesa,Mombasa
ORD-000048,2025-09-20,customer62@outlook.com,SKU-ELEC-002,Laptop Ultra,Electronics,5,130387.82,651939.1,mpesa,Eldoret
ORD-000049,2025-10-01,customer102@gmail.com,SKU-HOME-003,Bed Sheets Set,Home & Kitchen,2,3743.04,7486.08,bank_transfer,Malindi
ORD-000050,2025-10-30,customer88@outlook.com,SKU-BOOK-002,Data Science Book,Books,1,2622.29,2622.29,mpesa,Nakuru
ORD-000051,2025-08-15,customer92@outlook.com,SKU-HOME-005,Air Purifier,Home & Kitchen,5,14537.07,72685.35,card,Kakamega
ORD-000052,2025-08-25,customer100@gmail.com,SKU-BOOK-005,DevOps Handbook,Books,1,2801.8,2801.8,mpesa,Kisumu
ORD-000053,2025-08-16,customer128@yahoo.co.ke,SKU-ELEC-002,Laptop Ultra,Electronics,2,130237.93,260475.86,mpesa,Kitale
ORD-000054,2025-08-31,customer29@outlook.com,SKU-ELEC-002,Laptop Ultra,Electronics,1,129689.52,129689.52,mpesa,Malindi
ORD-000055,2025-08-27,customer38@gmail.com,SKU-BOOK-003,Design Patterns,Books,2,2424.49,4848.98,mpesa,Nairobi
ORD-000056,2025-08-12,customer107@outlook.com,SKU-CLOTH-005,Baseball Cap,Clothing,4,1469.58,5878.32,mpesa,Garissa
ORD-000057,2025-10-15,customer31@outlook.com,SKU-BOOK-003,Design Patterns,Books,2,2432.76,4865.52,mpesa,Garissa
ORD-000058,2025-10-06,customer35@kenya.co.ke,SKU-CLOTH-002,Denim Jeans,Clothing,2,4449.42,8898.84,mpesa,Nyeri
ORD-000059,2025-10-28,customer144@yahoo.co.ke,SKU-BOOK-005,DevOps Handbook,Books,3,2841.06,8523.18,mpesa,Nakuru
ORD-000060,2025-08-19,customer83@outlook.com,SKU-HOME-003,Bed Sheets Set,Home & Kitchen,2,3354.54,6709.08,mpesa,Eldoret
ORD-000061,2025-09-02,customer92@outlook.com,SKU-CLOTH-004,Winter Jacket,Clothing,1,7787.71,7787.71,other,Bungoma
ORD-000062,2025-11-04,customer108@kenya.co.ke,SKU-ELEC-003,Wireless Headphones,Electronics,5,9158.73,45793.65,bank_transfer,Kisumu
ORD-000063,2025-08-15,customer32@yahoo.co.ke,SKU-ELEC-005,Tablet Max,Electronics,3,34568.87,103706.61,mpesa,Garissa
ORD-000064,2025-08-14,customer194@kenya.co.ke,SKU-ELEC-002,Laptop Ultra,Electronics,2,130160.68,260321.36,mpesa,Meru
ORD-000065,2025-09-01,customer151@yahoo.com,SKU-BOOK-001,Programming Guide,Books,2,1836.08,3672.16,mpesa,Kisumu
ORD-000066,2025-09-24,customer1@outlook.com,SKU-HOME-002,Blender Pro,Home & Kitchen,2,8817.96,17635.92,card,Kitale
ORD-000067,2025-08-22,customer62@outlook.com,SKU-ELEC-003,Wireless Headphones,Electronics,2,8538.45,17076.9,mpesa,Nakuru
ORD-000068,2025-09-27,customer192@kenya.co.ke,SKU-CLOTH-004,Winter Jacket,Clothing,5,8161.61,40808.05,card,Garissa
ORD-000069,2025-09-05,customer87@yahoo.com,SKU-ELEC-002,Laptop Ultra,Electronics,5,129541.41,647707.05,mpesa,Nyeri
ORD-000070,2025-10-05,customer19@yahoo.co.ke,SKU-BOOK-005,DevOps Handbook,Books,3,3064.49,9193.47,bank_transfer,Nakuru
ORD-000071,2025-09-03,customer124@kenya.co.ke,SKU-CLOTH-001,Cotton T-Shirt,Clothing,1,1313.43,1313.43,mpesa,Eldoret
ORD-000072,2025-10-10,customer117@kenya.co.ke,SKU-HOME-004,Kitchen Knife Set,Home & Kitchen,1,4699.6,4699.6,mpesa,Eldoret
ORD-000073,2025-10-20,customer137@yahoo.com,SKU-HOME-001,Coffee Maker,Home & Kitchen,1,6761.64,6761.64,mpesa,Nakuru
ORD-000074,2025-09-13,customer43@gmail.com,SKU-ELEC-004,Smart Watch,Electronics,3,20390.1,61170.3,mpesa,Machakos
ORD-000075,2025-08-18,customer93@yahoo.com,SKU-HOME-002,Blender Pro,Home & Kitchen,5,8645.68,43228.4,card,Nakuru
ORD-000076,2025-08-30,customer137@yahoo.com,SKU-ELEC-005,Tablet Max,Electronics,2,35211.51,70423.02,mpesa,Nakuru
ORD-000077,2025-09-23,customer165@gmail.com,SKU-ELEC-001,Smartphone Pro,Electronics,5,79704.26,398521.3,card,Nairobi
ORD-000078,2025-10-27,customer200@yahoo.co.ke,SKU-HOME-003,Bed Sheets Set,Home & Kitchen,3,3081.5,9244.5,card,Nyeri
ORD-000079,2025-08-30,customer189@yahoo.com,SKU-BOOK-005,DevOps Handbook,Books,5,3276.42,16382.1,card,Bungoma
ORD-000080,2025-08-27,customer139@outlook.com,SKU-ELEC-005,Tablet Max,Electronics,3,35222.4,105667.2,mpesa,Bungoma
ORD-000081,2025-09-25,customer174@outlook.com,SKU-HOME-003,Bed Sheets Set,Home & Kitchen,5,3668.06,18340.3,card,Malindi
ORD-000082,2025-10-17,customer89@kenya.co.ke,SKU-CLOTH-002,Denim Jeans,Clothing,1,4170.5,4170.5,mpesa,Machakos
ORD-000083,2025-09-02,customer117@kenya.co.ke,SKU-ELEC-001,Smartphone Pro,Electronics,2,79592.44,159184.88,mpesa,Kitale
ORD-000084,2025-09-29,customer181@gmail.com,SKU-CLOTH-005,Baseball Cap,Clothing,5,992.01,4960.05,paystack,Mombasa
ORD-000085,2025-09-11,customer164@yahoo.co.ke,SKU-HOME-004,Kitchen Knife Set,Home & Kitchen,1,5237.61,5237.61,bank_transfer,Garissa
ORD-000086,2025-08-06,customer148@kenya.co.ke,SKU-HOME-004,Kitchen Knife Set,Home & Kitchen,4,4709.28,18837.12,mpesa,Nakuru
ORD-000087,2025-09-19,customer60@yahoo.co.ke,SKU-ELEC-004,Smart Watch,Electronics,5,19875.07,99375.35,mpesa,Eldoret
ORD-000088,2025-08-30,customer66@kenya.co.ke,SKU-CLOTH-003,Running Shoes,Clothing,3,6039.77,18119.31,mpesa,Eldoret
ORD-000089,2025-08-17,customer168@outlook.com,SKU-ELEC-004,Smart Watch,Electronics,3,20488.7,61466.1,mpesa,Nyeri
ORD-000090,2025-09-14,customer172@yahoo.com,SKU-HOME-003,Bed Sheets Set,Home & Kitchen,1,3459.98,3459.98,other,Busia
ORD-000091,2025-09-25,customer40@gmail.com,SKU-ELEC-005,Tablet Max,Electronics,2,35162.16,70324.32,other,Kakamega
ORD-000092,2025-09-12,customer116@kenya.co.ke,SKU-CLOTH-002,Denim Jeans,Clothing,3,4086.84,12260.52,bank_transfer,Meru
ORD-000093,2025-10-17,customer98@outlook.com,SKU-ELEC-003,Wireless Headphones,Electronics,5,9318.71,46593.55,mpesa,Kakamega
ORD-000094,2025-08-08,customer103@gmail.com,SKU-BOOK-005,DevOps Handbook,Books,4,2709.58,10838.32,other,Eldoret
ORD-000095,2025-10-04,customer21@yahoo.com,SKU-BOOK-001,Programming Guide,Books,2,2173.03,4346.06,other,Machakos
ORD-000096,2025-08-12,customer10@gmail.com,SKU-BOOK-003,Design Patterns,Books,4,2277.19,9108.76,mpesa,Nairobi
ORD-000097,2025-10-26,customer116@kenya.co.ke,SKU-HOME-003,Bed Sheets Set,Home & Kitchen,1,3277.1,3277.1,mpesa,Mombasa
ORD-000098,2025-09-01,customer176@kenya.co.ke,SKU-BOOK-002,Data Science Book,Books,2,2190.63,4381.26,mpesa,Malindi
ORD-000099,2025-10-24,customer127@yahoo.co.ke,SKU-BOOK-001,Programming Guide,Books,4,1958.26,7833.04,mpesa,Mombasa
ORD-000100,2025-09-07,customer180@yahoo.co.ke,SKU-ELEC-003,Wireless Headphones,Electronics,2,8970.24,17940.48,bank_transfer,Kisumu
ORD-000101,2025-08-18,customer41@gmail.com,SKU-HOME-003,Bed Sheets Set,Home & Kitchen,3,3591.31,10773.93,other,Eldoret
ORD-000102,2025-08-24,customer32@yahoo.co.ke,SKU-CLOTH-003,Running Shoes,Clothing,4,5601.38,22405.52,mpesa,Machakos
ORD-000103,2025-08-14,customer99@outlook.com,SKU-CLOTH-005,Baseball Cap,Clothing,2,707.77,1415.54,mpesa,Eldoret
ORD-000104,2025-08-25,customer189@yahoo.com,SKU-CLOTH-002,Denim Jeans,Clothing,4,3681.09,14724.36,mpesa,Machakos
ORD-000105,2025-08-25,customer168@outlook.com,SKU-ELEC-004,Smart Watch,Electronics,5,19681.76,98408.8,mpesa,Garissa
ORD-000106,2025-09-20,customer101@outlook.com,SKU-BOOK-001,Programming Guide,Books,4,2373.41,9493.64,mpesa,Nairobi
ORD-000107,2025-09-07,customer87@yahoo.com,SKU-BOOK-004,System Architecture,Books,2,3160.08,6320.16,mpesa,Kitale
ORD-000108,2025-08-06,customer122@outlook.com,SKU-BOOK-004,System Architecture,Books,5,2693.45,13467.25,other,Bungoma
ORD-000109,2025-08-27,customer143@outlook.com,SKU-BOOK-002,Data Science Book,Books,3,2584.34,7753.02,bank_transfer,Kakamega
ORD-000110,2025-09-09,customer17@yahoo.com,SKU-BOOK-004,System Architecture,Books,1,3059.43,3059.43,mpesa,Nakuru
ORD-000111,2025-10-19,customer23@yahoo.co.ke,SKU-CLOTH-003,Running Shoes,Clothing,1,6482.1,6482.1,card,Nakuru
ORD-000112,2025-10-31,customer8@gmail.com,SKU-ELEC-004,Smart Watch,Electronics,1,20429.52,20429.52,mpesa,Kisumu
ORD-000113,2025-09-01,customer46@yahoo.com,SKU-BOOK-003,Design Patterns,Books,2,1819.52,3639.04,mpesa,Eldoret
ORD-000114,2025-10-04,customer12@yahoo.co.ke,SKU-ELEC-002,Laptop Ultra,Electronics,3,130141.11,390423.33,mpesa,Nairobi
ORD-000115,2025-10-06,customer79@outlook.com,SKU-ELEC-003,Wireless Headphones,Electronics,5,9472.23,47361.15,mpesa,Bungoma
ORD-000116,2025-10-24,customer181@gmail.com,SKU-HOME-004,Kitchen Knife Set,Home & Kitchen,1,4540.94,4540.94,bank_transfer,Garissa
ORD-000117,2025-09-10,customer120@yahoo.co.ke,SKU-BOOK-005,DevOps Handbook,Books,3,2643.64,7930.92,other,Kitale
ORD-000118,2025-09-16,customer159@outlook.com,SKU-ELEC-001,Smartphone Pro,Electronics,5,80430.51,402152.55,mpesa,Thika
ORD-000119,2025-10-30,customer103@gmail.com,SKU-BOOK-003,Design Patterns,Books,2,2030.76,4061.52,mpesa,Thika
ORD-000120,2025-09-11,customer125@yahoo.co.ke,SKU-BOOK-001,Programming Guide,Books,2,2302.69,4605.38,bank_transfer,Eldoret
ORD-000121,2025-08-14,customer39@kenya.co.ke,SKU-BOOK-001,Programming Guide,Books,4,1779.17,7116.68,paystack,Eldoret
ORD-000122,2025-10-31,customer77@gmail.com,SKU-CLOTH-001,Cotton T-Shirt,Clothing,1,1744.26,1744.26,bank_transfer,Garissa
ORD-000123,2025-08-06,customer162@outlook.com,SKU-HOME-005,Air Purifier,Home & Kitchen,4,15051.17,60204.68,mpesa,Garissa
ORD-000124,2025-08-08,customer55@yahoo.co.ke,SKU-HOME-004,Kitchen Knife Set,Home & Kitchen,2,4754.21,9508.42,mpesa,Eldoret
ORD-000125,2025-09-11,customer131@yahoo.com,SKU-HOME-005,Air Purifier,Home & Kitchen,4,15403.27,61613.08,mpesa,Mombasa
ORD-000126,2025-10-05,customer42@outlook.com,SKU-ELEC-002,Laptop Ultra,Electronics,5,129643.02,648215.1,mpesa,Meru
ORD-000127,2025-08-19,customer10@gmail.com,SKU-ELEC-005,Tablet Max,Electronics,5,34703.39,173516.95,mpesa,Malindi
ORD-000128,2025-08-10,customer91@yahoo.com,SKU-ELEC-001,Smartphone Pro,Electronics,2,79969.09,159938.18,mpesa,Bungoma
ORD-000129,2025-08-26,customer169@gmail.com,SKU-CLOTH-003,Running Shoes,Clothing,5,5862.67,29313.35,mpesa,Garissa
ORD-000130,2025-10-23,customer101@outlook.com,SKU-ELEC-003,Wireless Headphones,Electronics,2,8499.4,16998.8,mpesa,Nakuru
ORD-000131,2025-09-10,customer9@gmail.com,SKU-ELEC-005,Tablet Max,Electronics,4,34597.96,138391.84,mpesa,Eldoret
ORD-000132,2025-08-17,customer19@yahoo.co.ke,SKU-CLOTH-002,Denim Jeans,Clothing,5,3714.32,18571.6,bank_transfer,Bungoma
ORD-000133,2025-10-30,customer117@kenya.co.ke,SKU-BOOK-004,System Architecture,Books,4,2616.05,10464.2,bank_transfer,Kakamega
ORD-000134,2025-08-15,customer79@outlook.com,SKU-BOOK-005,DevOps Handbook,Books,2,2613.62,5227.24,paystack,Machakos
ORD-000135,2025-08-15,customer36@gmail.com,SKU-ELEC-003,Wireless Headphones,Electronics,1,9313.16,9313.16,mpesa,Machakos
ORD-000136,2025-08-09,customer24@outlook.com,SKU-CLOTH-005,Baseball Cap,Clothing,5,966.58,4832.9,mpesa,Eldoret
ORD-000137,2025-08-30,customer199@kenya.co.ke,SKU-BOOK-004,System Architecture,Books,4,3050.01,12200.04,paystack,Meru
ORD-000138,2025-10-04,customer136@outlook.com,SKU-CLOTH-003,Running Shoes,Clothing,5,6272.25,31361.25,mpesa,Nairobi
ORD-000139,2025-10-05,customer107@outlook.com,SKU-CLOTH-005,Baseball Cap,Clothing,2,1299.68,2599.36,mpesa,Nairobi
ORD-000140,2025-09-24,customer56@yahoo.com,SKU-HOME-001,Coffee Maker,Home & Kitchen,5,7133.09,35665.45,mpesa,Garissa
ORD-000141,2025-08-20,customer126@outlook.com,SKU-HOME-002,Blender Pro,Home & Kitchen,2,9331.61,18663.22,other,Thika
ORD-000142,2025-08-12,customer185@outlook.com,SKU-BOOK-001,Programming Guide,Books,3,1922.6,5767.8,mpesa,Eldoret
ORD-000143,2025-11-02,customer179@yahoo.co.ke,SKU-BOOK-002,Data Science Book,Books,1,2116.9,2116.9,mpesa,Nyeri
ORD-000144,2025-09-01,customer138@yahoo.com,SKU-ELEC-002,Laptop Ultra,Electronics,3,130394.09,391182.27,mpesa,Mombasa
ORD-000145,2025-09-08,customer125@yahoo.co.ke,SKU-CLOTH-005,Baseball Cap,Clothing,4,1060.91,4243.64,other,Eldoret
ORD-000146,2025-11-04,customer62@outlook.com,SKU-CLOTH-005,Baseball Cap,Clothing,1,939.68,939.68,card,Mombasa
ORD-000147,2025-08-16,customer32@yahoo.co.ke,SKU-ELEC-001,Smartphone Pro,Electronics,3,80277.88,240833.64,mpesa,Mombasa
ORD-000148,2025-09-20,customer81@yahoo.co.ke,SKU-HOME-004,Kitchen Knife Set,Home & Kitchen,3,5480.94,16442.82,card,Eldoret
ORD-000149,2025-10-19,customer174@outlook.com,SKU-BOOK-001,Programming Guide,Books,4,1739.12,6956.48,other,Thika
ORD-000150,2025-09-25,customer75@kenya.co.ke,SKU-BOOK-003,Design Patterns,Books,5,2261.95,11309.75,mpesa,Meru
ORD-000151,2025-09-30,customer90@kenya.co.ke,SKU-CLOTH-004,Winter Jacket,Clothing,5,8092.35,40461.75,bank_transfer,Nairobi
ORD-000152,2025-10-22,customer98@outlook.com,SKU-ELEC-005,Tablet Max,Electronics,1,34577.85,34577.85,mpesa,Eldoret
ORD-000153,2025-09-12,customer186@outlook.com,SKU-BOOK-001,Programming Guide,Books,1,2416.39,2416.39,mpesa,Garissa
ORD-000154,2025-11-02,customer130@kenya.co.ke,SKU-HOME-003,Bed Sheets Set,Home & Kitchen,4,3354.34,13417.36,mpesa,Nairobi
ORD-000155,2025-11-03,customer152@gmail.com,SKU-CLOTH-001,Cotton T-Shirt,Clothing,2,1642.88,3285.76,mpesa,Meru
ORD-000156,2025-10-08,customer49@kenya.co.ke,SKU-HOME-002,Blender Pro,Home & Kitchen,2,9142.15,18284.3,mpesa,Mombasa
ORD-000157,2025-08-09,customer149@yahoo.co.ke,SKU-ELEC-004,Smart Watch,Electronics,1,19689.2,19689.2,card,Nakuru
ORD-000158,2025-09-17,customer26@yahoo.co.ke,SKU-CLOTH-001,Cotton T-Shirt,Clothing,4,1899.55,7598.2,other,Mombasa
ORD-000159,2025-08-08,customer160@gmail.com,SKU-BOOK-005,DevOps Handbook,Books,1,2842.33,2842.33,mpesa,Meru
ORD-000160,2025-08-10,customer63@yahoo.co.ke,SKU-CLOTH-001,Cotton T-Shirt,Clothing,1,1015.58,1015.58,mpesa,Kakamega
ORD-000161,2025-09-05,customer144@yahoo.co.ke,SKU-ELEC-005,Tablet Max,Electronics,3,34617.53,103852.59,mpesa,Kakamega
ORD-000162,2025-08-10,customer155@yahoo.co.ke,SKU-BOOK-002,Data Science Book,Books,1,2777.41,2777.41,other,Malindi
ORD-000163,2025-10-13,customer113@yahoo.com,SKU-CLOTH-002,Denim Jeans,Clothing,1,4199.6,4199.6,mpesa,Malindi
ORD-000164,2025-10-18,customer83@outlook.com,SKU-BOOK-005,DevOps Handbook,Books,1,2516.83,2516.83,mpesa,Machakos
ORD-000165,2025-10-03,customer196@outlook.com,SKU-HOME-002,Blender Pro,Home & Kitchen,3,9406.41,28219.23,mpesa,Kitale
ORD-000166,2025-09-03,customer175@outlook.com,SKU-BOOK-004,System Architecture,Books,4,2503.06,10012.24,paystack,Busia
ORD-000167,2025-10-19,customer183@kenya.co.ke,SKU-HOME-004,Kitchen Knife Set,Home & Kitchen,3,4995.64,14986.92,mpesa,Meru
ORD-000168,2025-10-18,customer28@yahoo.com,SKU-CLOTH-003,Running Shoes,Clothing,4,6030.75,24123.0,mpesa,Mombasa
ORD-000169,2025-09-11,customer149@yahoo.co.ke,SKU-HOME-002,Blender Pro,Home & Kitchen,1,8622.85,8622.85,mpesa,Kitale
ORD-000170,2025-08-24,customer15@kenya.co.ke,SKU-CLOTH-005,Baseball Cap,Clothing,5,1052.26,5261.3,bank_transfer,Kitale
ORD-000171,2025-10-01,customer165@gmail.com,SKU-CLOTH-001,Cotton T-Shirt,Clothing,3,1974.7,5924.1,mpesa,Nyeri
ORD-000172,2025-09-02,customer175@outlook.com,SKU-ELEC-004,Smart Watch,Electronics,5,20495.44,102477.2,mpesa,Mombasa
ORD-000173,2025-08-31,customer178@yahoo.com,SKU-HOME-001,Coffee Maker,Home & Kitchen,1,6698.49,6698.49,mpesa,Nairobi
ORD-000174,2025-08-13,customer116@kenya.co.ke,SKU-ELEC-001,Smartphone Pro,Electronics,2,80227.95,160455.9,mpesa,Eldoret
ORD-000175,2025-10-16,customer136@outlook.com,SKU-CLOTH-004,Winter Jacket,Clothing,5,8309.52,41547.6,card,Malindi
ORD-000176,2025-09-15,customer17@yahoo.com,SKU-HOME-005,Air Purifier,Home & Kitchen,1,14668.51,14668.51,paystack,Mombasa
ORD-000177,2025-10-09,customer101@outlook.com,SKU-HOME-005,Air Purifier,Home & Kitchen,4,14729.31,58917.24,paystack,Nairobi
ORD-000178,2025-09-06,customer170@gmail.com,SKU-CLOTH-005,Baseball Cap,Clothing,3,716.77,2150.31,mpesa,Malindi
ORD-000179,2025-10-20,customer108@kenya.co.ke,SKU-HOME-001,Coffee Maker,Home & Kitchen,3,7321.25,21963.75,mpesa,Meru
ORD-000180,2025-10-01,customer35@kenya.co.ke,SKU-BOOK-004,System Architecture,Books,5,2545.87,12729.35,card,Mombasa
ORD-000181,2025-10-15,customer2@kenya.co.ke,SKU-CLOTH-004,Winter Jacket,Clothing,1,8405.76,8405.76,mpesa,Garissa
ORD-000182,2025-09-30,customer13@gmail.com,SKU-CLOTH-002,Denim Jeans,Clothing,2,3910.38,7820.76,mpesa,Meru
ORD-000183,2025-09-02,customer111@yahoo.com,SKU-ELEC-003,Wireless Headphones,Electronics,4,8917.59,35670.36,mpesa,Busia
ORD-000184,2025-08-26,customer36@gmail.com,SKU-CLOTH-002,Denim Jeans,Clothing,2,3862.99,7725.98,mpesa,Nairobi
ORD-000185,2025-08-27,customer124@kenya.co.ke,SKU-BOOK-001,Programming Guide,Books,3,2139.26,6417.78,paystack,Malindi
ORD-000186,2025-10-12,customer166@outlook.com,SKU-HOME-002,Blender Pro,Home & Kitchen,3,9124.01,27372.03,bank_transfer,Nakuru
ORD-000187,2025-09-19,customer108@kenya.co.ke,SKU-CLOTH-005,Baseball Cap,Clothing,5,981.6,4908.0,mpesa,Machakos
ORD-000188,2025-11-02,customer142@yahoo.co.ke,SKU-HOME-003,Bed Sheets Set,Home & Kitchen,5,3360.54,16802.7,bank_transfer,Nairobi
ORD-000189,2025-08-10,customer40@gmail.com,SKU-ELEC-003,Wireless Headphones,Electronics,5,9030.34,45151.7,mpesa,Bungoma
ORD-000190,2025-10-12,customer135@gmail.com,SKU-CLOTH-002,Denim Jeans,Clothing,3,3603.31,10809.93,bank_transfer,Nakuru
ORD-000191,2025-08-22,customer88@outlook.com,SKU-ELEC-003,Wireless Headphones,Electronics,4,9367.44,37469.76,mpesa,Malindi
ORD-000192,2025-09-22,customer28@yahoo.com,SKU-HOME-002,Blender Pro,Home & Kitchen,5,8523.22,42616.1,other,Kakamega
